Company,Modified DEI initatives,Made in El Salvador,Donated to Trump Campaign,Donated to Trump Inauguration,Donated to Biden Inauguration 2020,Notes
1-800-Radiator & A/C,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
abra,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Accenture,TRUE,FALSE,FALSE,FALSE,FALSE,
Ace Hardware,FALSE,FALSE,TRUE,FALSE,FALSE,
ACT Oral Care,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Sanofi
Adams (Peanut Butter),FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of J. M. Smucker Company
Adobe,FALSE,FALSE,FALSE,TRUE,FALSE,
Allegiant Air,FALSE,FALSE,TRUE,FALSE,FALSE,
Amazon,TRUE,FALSE,FALSE,TRUE,TRUE,Donated $1 million to inauguration. Paid $40 million to license a Melania Trump documentary.
Whole Foods,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of Amazon
American Airlines,TRUE,FALSE,FALSE,FALSE,FALSE,
Amtrak,TRUE,FALSE,FALSE,FALSE,FALSE,
Angel Soft,FALSE,FALSE,TRUE,FALSE,FALSE,"Subsidiary of Georgia-Pacific, a Koch company"
Anthropologie,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Urban Outfitters
Anytime Fitness,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Arby's ,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Arizona Diamondbacks,FALSE,FALSE,TRUE,FALSE,FALSE,"Owned by Ken Kendrick, who donated"
Ashley Furniture,FALSE,FALSE,TRUE,FALSE,FALSE,
AT&T,FALSE,FALSE,FALSE,TRUE,TRUE,
Auntie Anne's,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Automotive Training Institute,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
AutoGlassNow!,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
AutoZone,FALSE,FALSE,TRUE,FALSE,FALSE,
Bacardi,FALSE,FALSE,TRUE,FALSE,FALSE,
Bali,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of HanesBrands
Bank of America,TRUE,FALSE,FALSE,TRUE,TRUE,
Basecamp Fitness,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Baskin' Robbins,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Berkshire Hathaway,FALSE,FALSE,TRUE,FALSE,FALSE,
Blue Bell Creameries,FALSE,FALSE,TRUE,FALSE,FALSE,
Blue Moon,TRUE,FALSE,TRUE,FALSE,FALSE,Subsidiary of MolsonCoors
Blue Run Spirits,TRUE,FALSE,TRUE,FALSE,FALSE,Subsidiary of MolsonCoors
Boeing,TRUE,FALSE,FALSE,TRUE,TRUE,
BONDS,FALSE,TRUE,FALSE,FALSE,FALSE,Subsidiary of HanesBrands
Boost Mobile ,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of EchoStar
Bosley's,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Brawny,FALSE,FALSE,TRUE,FALSE,FALSE,"Subsidiary of Georgia-Pacific, a Koch company"
Brooks Running,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Berkshire Hathaways
Bubba's,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Flower Foods
Buffalo Wild Wings,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Bunny Bread,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Flower Foods
Butternut,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Flower Foods
Cafe Bustelo,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of J. M. Smucker Company
Cafe Pilon,FALSE,TRUE,TRUE,FALSE,FALSE,Subsidiary of J. M. Smucker Company
Canine Carry Outs,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of J. M. Smucker Company
Canyon Bakehouse,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Flower Foods
Captain John Derst's,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Flower Foods
Carl's Jr.,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Carnation,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of J. M. Smucker Company
Carstar,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Carvel,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Champ Cloting,FALSE,TRUE,FALSE,FALSE,FALSE,Subsidiary of HanesBrands
Charter Spectrum,FALSE,FALSE,FALSE,TRUE,TRUE,Subsidiary of Charter Communications; donated $1 million
Chipotle,TRUE,FALSE,FALSE,FALSE,FALSE,
Chiquita,FALSE,FALSE,TRUE,FALSE,FALSE,
Cincinnati Financial Insurance,FALSE,FALSE,TRUE,FALSE,FALSE,
Cinnabon,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Coinbase,FALSE,FALSE,FALSE,TRUE,FALSE,Donated $1 million to inauguration
Comcast,TRUE,FALSE,FALSE,FALSE,FALSE,
Conair ,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of American Securities
Coors,TRUE,FALSE,TRUE,FALSE,FALSE,Subsidiary of MolsonCoors
Cordura,FALSE,FALSE,TRUE,FALSE,FALSE,"Subsidiary of Invista, a Koch company"
Cuisinart ,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of American Securities
Culver's,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Dairy Queen,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Berkshire Hathaway
Dave's Killer Bread,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Flower Foods
Deloitte,TRUE,FALSE,FALSE,FALSE,FALSE,
Discount Tire,FALSE,FALSE,TRUE,FALSE,FALSE,
Disney,TRUE,FALSE,FALSE,FALSE,FALSE,
Divisions Maintenance Group,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Dixie,FALSE,FALSE,TRUE,FALSE,FALSE,"Subsidiary of Georgia-Pacific, a Koch company"
Dudley Sporting Equipment,FALSE,TRUE,FALSE,FALSE,FALSE,Subsidiary of Fruit of the Loom
Dunkin'   ,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Dunkin' (At Home),FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of J. M. Smucker Company
European Bakers,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Flower Foods
Evangeline Maid,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Flower Foods
ExxonMobil,FALSE,FALSE,TRUE,FALSE,FALSE,
Fix Auto,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Folgers,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of J. M. Smucker Company
Ford,TRUE,FALSE,FALSE,TRUE,TRUE,Donated $1 million to inauguration
Foster's,TRUE,FALSE,TRUE,FALSE,FALSE,Subsidiary of MolsonCoors
Free People,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Urban Outfitters
Fruit of the Loom,FALSE,TRUE,TRUE,FALSE,FALSE,Subsidiary of Berkshire Hathaway
GE,TRUE,FALSE,FALSE,FALSE,FALSE,
GEICO Insurance,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Berkshire Hathaway
George Foreman Grill,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Spectrum Brands
George Killian's,TRUE,FALSE,TRUE,FALSE,FALSE,Subsidiary of MolsonCoors
GNC ,FALSE,FALSE,TRUE,FALSE,FALSE,
Golden Wing,TRUE,FALSE,TRUE,FALSE,FALSE,Subsidiary of MolsonCoors
Goldman Sachs,FALSE,FALSE,FALSE,TRUE,FALSE,
Google,TRUE,FALSE,FALSE,TRUE,TRUE,Donated $1 million to inauguration
GPRS,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Great Grains,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Flower Foods
Grey Goose,FALSE,FALSE,TRUE,FALSE,FALSE,
Grolsch,TRUE,FALSE,TRUE,FALSE,FALSE,Subsidiary of MolsonCoors
Guardian Glass,FALSE,FALSE,TRUE,FALSE,FALSE,"Subsidiary of Guardian, Inc., a Kock company"
Hamm's,TRUE,FALSE,TRUE,FALSE,FALSE,Subsidiary of MolsonCoors
Hanes,FALSE,TRUE,FALSE,FALSE,FALSE,Subsidiary of HanesBrands
Happy Thursday,TRUE,FALSE,TRUE,FALSE,FALSE,Subsidiary of MolsonCoors
Hardee's ,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Harley Davidson,TRUE,FALSE,FALSE,FALSE,FALSE,
Healthy Contributions,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Helzerg Diamonds,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Berkshire Hathaway
Hendrick Motorsports,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of General Motors
Henry Weinhard's Gourmet Sodas,TRUE,FALSE,TRUE,FALSE,FALSE,Subsidiary of MolsonCoors
Hims,FALSE,FALSE,FALSE,TRUE,FALSE,Donated $1 million to inauguration
Hobby Lobby,FALSE,FALSE,TRUE,FALSE,FALSE,
Homepride,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Flower Foods
Hostess,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of J. M. Smucker Company
Icehouse,TRUE,FALSE,TRUE,FALSE,FALSE,Subsidiary of MolsonCoors
Installation Made Easy,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
i9 Sports,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Intel,TRUE,FALSE,FALSE,FALSE,FALSE,
Intuit,FALSE,FALSE,FALSE,TRUE,FALSE,Donated $1 million to inauguration
Jack Morris Auto Glass,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Jamba,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Jif,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of J. M. Smucker Company
